Mean	Stdev	CUI1	CUI2	Term1	Term2
1273	126.4383908	C0009186	C0019655	Coccidioidomicosis	Histoplasmosis
1303.25	79.51676972	C0242339	C0004153	Dislipidemia	Aterosclerosis
616.25	499.8809025	C0028738	C0021167	Nistagmo	Incontinencia
708.75	397.5167711	C0013911	C0079083	Emaciación	Carboplatino
669	313.227287	C0009090	C0233576	Desorden	Manierismo
1456.75	110.1010899	C0027497	C0027498	Náusea	Vómito
1306.25	56.84115293	C0009951	C0001962	Convulsiones	Etanol
1277	247.2421215	C0242723	C0024530	Parasitemia	Malaria
710.5	476.4294281	C0020639	C0020175	Hipoproteinemia	Hambre
361	289.5559819	C0086543	C0014544	Cataratas	Epilepsia
499.25	639.5333585	C0086543	C0043144	Cataratas	Sibilancias
787.5	351.4868419	C0011847	C0033860	Diabetes	Psoriasis
1173.5	377.8169751	C0948786	C0030232	Palidez	Palidez
441.25	313.1797939	C0031763	C0003564	Fotosensibilización	Afonía
1168.75	180.6421416	C0033860	C0003864	Psoriasis	Artritis
582.25	531.1198076	C0497327	C0033860	Demencia	Psoriasis
804	584.2197075	C0031154	C0239779	Peritonitis	Muecas
1470.5	85.45759182	C0015300	C0020550	Exoftalmos	Hipertiroidismo
778.25	577.4948052	C0040038	C0019079	Tromboembolismo	Hemoptisis
463.75	432.5963284	C0086543	C0021641	Cataratas	Insulina
824	416.0056089	C0885057	C0016157	Ajo	Aceite de pescado
1355.5	188.4931475	C0242339	C0016157	Dislipidemia	Aceite de pescado
931.25	248.6595732	C0684275	C0019079	Hemofilia	Hemoptisis
1126	227.5184974	C0017887	C0026549	Nitroglicerina	Morfina
1248	173.9291043	C0232197	C0002962	Fibrilación	Angina
1485	81.6986332	C0011847	C0021641	Diabetes	Insulina
871.25	325.1342031	C0030232	C0004057	Palidez	Aspirina
253.25	62.15236654	C0013456	C0233212	Otalgia	Coronamiento
525.75	298.5681106	C0019340	C0008370	Herpes	Colestasis
1261.5	125.4870511	C0242339	C0008402	Dislipidemia	Colestiramina
406.25	204.4836994	C0034494	C0702166	Rabia	Acné
1280	136.5527981	C0854467	C0008168	Mielosupresión	Cloranfenicol
664	467.8090779	C1623038	C0019270	Cirrosis	Hernia
1238	156.9352308	C0001824	C0023530	Agranulocitosis	Leucopenia
1084.25	241.8558455	C1998461	C0019134	Alergia	Heparina
948	398.0100501	C0009187	C0025289	Coccidiosis	Meningitis
275.5	106.2026365	C0002940	C0029456	Aneurisma	Osteoporosis
630.5	530.5999749	C0029456	C0087086	Osteoporosis	Trombo
1285.75	271.1203607	C0232197	C0087086	Fibrilación	Trombo
443.5	449.1336104	C0040034	C0036396	Trombocitopenia	Ciática
